rawscore,VOC_AE,ABS_AE,BLO_AE
1,7,8,9
2,7,8,9
3,7,8,9
4,8,9,9
5,8,9,10
6,8,9,10
7,8,9,10
8,9,10,11
9,9,10,11
10,10,11,11
11,10,12,12
12,10,12,12
13,10,13,13
14,10,13,13
15,11,14,13
16,11,15,14
17,11,15,14
18,11,16,14
19,12,16,15
20,12,16,15
21,12,17,15
22,12,17,15
23,13,17,16
24,14,17,16
25,14,17+,16
26,15,,17
27,15,,
28,16,,
29,16,,
30,16,,
31,16,,
32,16,,
33,17,,
34,17,,
35,17,,
36,17,,
37,17,,
38,17+,,
39,17+,,
40,17+,,
